,id,item_id,position,path,protocol,mimetype,checksum,orientation,metadata,size,page,color,density,filename
119,240,239,,wois_cogwheel_white.png,file,image/png,66e9e6d5d440d8146bc731c9c43b91ad,1,{},272856,0,"rgb(255,255,255,1)",,wois_cogwheel_white.png
120,242,241,,wois_icon.png,file,image/png,0d5c0ecc627f78c8b01ed6d44e010e0a,1,{},215006,0,"rgb(255,255,255,1)",,wois_icon.png
121,244,243,,wois_logo_title.png,file,image/png,61cbb610bfc1862d02caba0b3e3973d2,1,{},1105514,0,"rgb(255,255,255,1)",,wois_logo_title.png
122,246,245,,zodiac_ars_magna_lucis.jpg,file,image/jpeg,bd91e544eebe7eb2e877ed4a7c6780a0,1,{},650166,0,"rgb(216,184,136,1)",,zodiac_ars_magna_lucis.jpg
123,248,247,,zodiac_thesaurus_artificiosa.jpg,file,image/jpeg,3a828e4a816718e565aba17c5a9da9b0,1,{},219811,0,"rgb(248,248,232,1)",,zodiac_thesaurus_artificiosa.jpg
124,265,264,1.0,64_unterweysung.png,file,image/png,5372b4acca786db986502300e8680076,1,{},693742,0,"rgb(248,232,200,1)",,
125,267,266,1.0,Durer_basilisk.jpg,file,image/jpeg,bd086af63f437d541002c0427eadd5b4,1,{},171422,0,"rgb(232,216,200,1)",,
126,269,268,1.0,Fludd-De natura simia-II-210.png,file,image/png,9bc77c74820ecf12aff9fe5497e43d9a,1,{},1129214,0,"rgb(200,168,136,1)",,
127,271,270,1.0,Fludd-De natura simia-II-210_vg.svg,file,image/svg+xml,5751905c40d8d02f9180b6376b61a8a1,1,{},245761,0,"rgb(255,255,255,1)",72.0,
128,273,272,1.0,Fludd-De natura simia-II-210_white.png,file,image/png,6ec3f88445d3a2a0d7cc466a7d31cfdb,1,{},758083,0,"rgb(255,255,255,1)",,
129,275,274,1.0,Albrecht_Dürer_-_Melencolia_I_-_Google_Art_Project_(_AGDdr3EHmNGyA).jpg,file,image/jpeg,bc4bfa037d1dd83f8961aecb02b69be9,1,{},8451722,0,"rgb(216,216,200,1)",,
