"Object ID",FAAM-ID,Title,"Editorial annotations - Object ID","Handwritten annotations - Object ID"
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992201
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992113
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992174
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992223
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992177
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992127
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992105
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,16002509
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992116
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992229
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992216
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992173
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992128
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992154
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992124
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992212
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992131
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992201
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992113
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992174
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992223
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992177
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992127
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992105
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,16002509
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992116
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992229
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992216
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992173
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992128
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992154
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992216,15992124
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992212
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992131
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992201
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992113
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992174
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992223
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992177
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992127
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992105
